Fecha,Clics,Impresiones,CTR,Posición
2026-05-20,0,0,,
2026-05-21,0,10,0%,45.4
2026-05-22,0,10,0%,48.9
2026-05-23,0,24,0%,58.5
2026-05-24,0,16,0%,58.9
2026-05-25,0,37,0%,45.6
2026-05-26,0,12,0%,57.8
2026-05-27,0,14,0%,48.9
2026-05-28,1,29,3.45%,46.8
2026-05-29,0,19,0%,43.1
2026-05-30,0,22,0%,41.6
2026-05-31,0,16,0%,29.9
2026-06-01,0,120,0%,42.5
2026-06-02,0,119,0%,32.8
2026-06-03,1,94,1.06%,27.8
2026-06-04,3,169,1.78%,31.1
2026-06-05,3,395,0.76%,49.3
2026-06-06,0,253,0%,47.8
2026-06-07,2,308,0.65%,50.8
2026-06-08,1,279,0.36%,41.5
2026-06-09,7,295,2.37%,33.6
2026-06-10,1,288,0.35%,31.5
2026-06-11,1,224,0.45%,62.1
2026-06-12,0,210,0%,65.6
2026-06-13,0,115,0%,58.1
2026-06-14,0,143,0%,64.5
2026-06-15,0,170,0%,62.2
2026-06-16,0,229,0%,63.8
2026-06-17,1,391,0.26%,66.1
2026-06-18,0,197,0%,62.2
2026-06-19,1,309,0.32%,65.8
2026-06-20,0,110,0%,68.2
2026-06-21,0,136,0%,61.7
2026-06-22,1,123,0.81%,49.3
2026-06-23,0,97,0%,57
2026-06-24,0,155,0%,59
2026-06-25,1,170,0.59%,60.2
2026-06-26,1,239,0.42%,62.9
2026-06-27,0,150,0%,60
2026-06-28,0,139,0%,63.1
2026-06-29,1,178,0.56%,51.2
2026-06-30,1,232,0.43%,39.8
2026-07-01,2,309,0.65%,40.6
2026-07-02,1,144,0.69%,38.8
2026-07-03,1,328,0.30%,58.1
2026-07-04,3,156,1.92%,45.3
2026-07-05,1,152,0.66%,53.3
