País,Clics,Impresiones,CTR,Posición
Nicaragua,13,1410,0.92%,13.66
Perú,8,670,1.19%,48.55
Guatemala,5,147,3.40%,31.71
Colombia,2,1815,0.11%,67.24
Costa Rica,2,222,0.90%,38.57
El Salvador,2,217,0.92%,44.21
Chile,1,620,0.16%,75.48
Panamá,1,200,0.50%,41.27
Honduras,1,116,0.86%,25.04
México,0,754,0%,73.81
Argentina,0,568,0%,76.31
Estados Unidos,0,442,0%,48.91
Reino Unido,0,29,0%,68.24
España,0,24,0%,51.33
Brasil,0,10,0%,75.8
La India,0,8,0%,47
República Dominicana,0,8,0%,60
Francia,0,6,0%,7.83
Filipinas,0,5,0%,41.4
Ecuador,0,4,0%,6.75
Países Bajos,0,4,0%,9
Canadá,0,4,0%,28
Polonia,0,3,0%,9.67
Arabia Saudí,0,3,0%,54
Rusia,0,3,0%,57.33
Chequia,0,2,0%,10
Finlandia,0,2,0%,10
Bangladés,0,2,0%,24.5
Italia,0,2,0%,26
Rumanía,0,2,0%,26.5
Qatar,0,2,0%,28.5
Emiratos Árabes Unidos,0,2,0%,39.5
Australia,0,2,0%,42
Indonesia,0,2,0%,43
Ghana,0,2,0%,53
Irán,0,1,0%,3
Moldavia,0,1,0%,5
Cuba,0,1,0%,6
China,0,1,0%,7
Japón,0,1,0%,8
Tailandia,0,1,0%,9
Bután,0,1,0%,10
Irlanda,0,1,0%,10
Turquía,0,1,0%,10
Taiwán,0,1,0%,10
Ucrania,0,1,0%,10
Portugal,0,1,0%,11
Albania,0,1,0%,17
Tanzania,0,1,0%,17
Myanmar (Birmania),0,1,0%,42
Eslovaquia,0,1,0%,42
Islas Vírgenes Británicas,0,1,0%,59
Suiza,0,1,0%,62
Corea del Sur,0,1,0%,63
Bielorrusia,0,1,0%,68
Alemania,0,1,0%,71
Liechtenstein,0,1,0%,76
Austria,0,1,0%,79
